Strategy,R2,RMSE,MAE
BASELINE (Original),0.11105742041217093,84579.34496295829,44825.99300108232
BASELINE (GB),0.11518137585644339,84382.92792966732,44401.05130091824
STRATEGY 4 (0-100k),0.09658910814198074,85264.86798666719,43939.56502066119
STRATEGY 4 (GB),0.09545352646614558,85318.43985218751,43821.20795920487
STRATEGY 5 (0-50k),-0.47834906791312193,109072.67360656794,62870.0292995803
STRATEGY 5 (GB),-0.4786859067202458,109085.09889147696,62881.670652964334
ENSEMBLE (Top 2),0.11489252516934467,84396.7002877143,44527.90404302336
